                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.7458,                 3.7007,                 3.3409,                 3.6488,                0.13027,                0.11157,                0.09807,                0.02864,                0.14629,                0.12842,                0.10879,                0.03074,                 2.5847,                 8.2377,                 3.4177,                 4.1855,              0.0015086,              0.0015086,              0.0015086
                     51,                 2.7544,                 3.5433,                 3.2618,                 3.6191,                0.13027,                0.11157,                0.09807,                0.02864,                0.14629,                0.12842,                0.10879,                0.03074,                 2.5847,                 8.2377,                 3.4177,                 4.1855,              0.0015053,              0.0015053,              0.0015053
                     52,                 2.7279,                 3.6005,                 3.3565,                  3.638,                0.13027,                0.11157,                0.09807,                0.02864,                0.14629,                0.12842,                0.10879,                0.03074,                 2.5847,                 8.2377,                 3.4177,                 4.1855,               0.001502,               0.001502,               0.001502
                     53,                 2.7894,                 3.5929,                 3.4577,                 3.6757,                0.18848,                0.24052,                0.13454,                0.04904,                0.18678,                 0.1826,                 0.1244,                 0.0407,                 2.5119,                  8.646,                 3.2347,                 4.5708,              0.0014987,              0.0014987,              0.0014987
                     54,                  2.777,                 3.7612,                 3.4293,                 3.6822,                0.18848,                0.24052,                0.13454,                0.04904,                0.18678,                 0.1826,                 0.1244,                 0.0407,                 2.5119,                  8.646,                 3.2347,                 4.5708,              0.0014954,              0.0014954,              0.0014954
                     55,                 2.7317,                 3.5789,                 3.4282,                 3.5994,                0.18848,                0.24052,                0.13454,                0.04904,                0.18678,                 0.1826,                 0.1244,                 0.0407,                 2.5119,                  8.646,                 3.2347,                 4.5708,              0.0014921,              0.0014921,              0.0014921
                     56,                 2.7876,                 3.6425,                 3.7017,                 3.6711,                0.29042,                0.20347,                0.14372,                0.05568,                0.27153,                 0.1951,                0.12983,                0.04127,                 2.4195,                 5.7965,                 3.1653,                 4.0206,              0.0014888,              0.0014888,              0.0014888
                     57,                 2.7866,                  3.719,                 3.3723,                 3.6147,                0.29042,                0.20347,                0.14372,                0.05568,                0.27153,                 0.1951,                0.12983,                0.04127,                 2.4195,                 5.7965,                 3.1653,                 4.0206,              0.0014855,              0.0014855,              0.0014855
                     58,                 2.8308,                 3.8291,                  3.492,                  3.694,                0.27434,                 0.1958,                0.14059,                0.05278,                0.25195,                 0.1781,                0.12215,                0.04009,                 2.4289,                 5.4337,                  3.131,                 3.8097,              0.0014822,              0.0014822,              0.0014822
                     59,                 2.7291,                 3.6932,                 3.7087,                 3.7073,                0.27434,                 0.1958,                0.14059,                0.05278,                0.25195,                 0.1781,                0.12215,                0.04009,                 2.4289,                 5.4337,                  3.131,                 3.8097,              0.0014789,              0.0014789,              0.0014789
                     60,                 2.6016,                  3.771,                 3.3532,                  3.548,                0.27434,                 0.1958,                0.14059,                0.05278,                0.25195,                 0.1781,                0.12215,                0.04009,                 2.4289,                 5.4337,                  3.131,                 3.8097,              0.0014756,              0.0014756,              0.0014756
                     61,                 2.6057,                 3.3662,                 3.2879,                 3.5828,                0.25643,                0.20915,                0.14786,                0.05234,                0.21809,                0.19145,                0.13452,                0.04112,                 2.4226,                 4.4768,                 3.0562,                 3.5568,              0.0014723,              0.0014723,              0.0014723
